# Total Phase Data Center(tm) v8.10,,,,,,,,,
# (c) 2005-2026 Total Phase, Inc.,,,,,,,,
# www.totalphase.com,,,,,,,,,
#,,,,,,,,,
# ,,,,,,,,,
#,,,,,,,,,
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,Description
0,115,5:04.612.952,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,116,5:04.614.864,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,117,5:04.614.952,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,118,5:04.616.864,88.350 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,119,5:04.616.953,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,120,5:04.618.864,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,121,5:04.618.952,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,122,5:04.620.865,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,123,5:04.620.953,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,124,5:04.622.864,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,125,5:04.622.953,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,126,5:04.624.865,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,127,5:04.624.953,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,128,5:04.626.865,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,129,5:04.626.953,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
